ref,weight
"titan_camo_skin43",10.000000
"titan_camo_skin44",10.000000
"titan_camo_skin45",10.000000
"titan_camo_skin46",10.000000
"titan_camo_skin47",10.000000
"titan_camo_skin48",10.000000
"titan_camo_skin49",10.000000
"titan_camo_skin50",10.000000
"titan_camo_skin51",10.000000
"titan_camo_skin52",10.000000
"titan_camo_skin53",10.000000
"titan_camo_skin54",10.000000
"titan_camo_skin68",10.000000
"titan_camo_skin69",10.000000
"titan_camo_skin70",10.000000
"titan_camo_skin71",10.000000
"titan_camo_skin72",10.000000
"titan_camo_skin73",10.000000
"titan_camo_skin74",10.000000
"titan_camo_skin75",10.000000
"titan_camo_skin76",10.000000
"titan_camo_skin77",10.000000
"titan_camo_skin78",10.000000
"titan_camo_skin79",10.000000
"titan_camo_skin80",10.000000
"titan_camo_skin84",10.000000
"titan_camo_skin86",10.000000
"titan_camo_skin88",10.000000
"titan_camo_skin89",10.000000
"titan_camo_skin90",10.000000
"titan_camo_skin95",10.000000
"titan_camo_skin96",10.000000
"titan_camo_skin98",10.000000
"titan_camo_skin99",10.000000
"gc_icon_5star",15.000000
"gc_icon_angryface",15.000000
"gc_icon_bear",15.000000
"gc_icon_bee",15.000000
"gc_icon_bigcat",15.000000
"gc_icon_bird",15.000000
"gc_icon_bunnyskull",15.000000
"gc_icon_chicken",15.000000
"gc_icon_club",15.000000
"gc_icon_corporal",15.000000
"gc_icon_cow",15.000000
"gc_icon_cupcake",15.000000
"gc_icon_dataknife",15.000000
"gc_icon_doublerainbow",15.000000
"gc_icon_dragon",15.000000
"gc_icon_earthworm",15.000000
"gc_icon_fair_warning",15.000000
"gc_icon_falcon",15.000000
"gc_icon_fingerprint",15.000000
"gc_icon_flying_skull",15.000000
"gc_icon_ghostface",15.000000
"gc_icon_hamburger",15.000000
"gc_icon_hammer",15.000000
"gc_icon_handprint",15.000000
"gc_icon_hawkmoth",15.000000
"gc_icon_heartless",15.000000
"gc_icon_hvt",15.000000
"gc_icon_jollyrgr",15.000000
"gc_icon_knife",15.000000
"gc_icon_lol",15.000000
"gc_icon_mad_hat",15.000000
"gc_icon_marksman",15.000000
"gc_icon_omg",15.000000
"gc_icon_ordnance",15.000000
"gc_icon_pizza",15.000000
"gc_icon_pvt",15.000000
"gc_icon_question",15.000000
"gc_icon_rainbow",15.000000
"gc_icon_ram",15.000000
"gc_icon_respawn",15.000000
"gc_icon_saturn",15.000000
"gc_icon_scorpion",15.000000
"gc_icon_senior_sgt_e6",15.000000
"gc_icon_senior_sgt",15.000000
"gc_icon_sgt",15.000000
"gc_icon_skull",15.000000
"gc_icon_snake",15.000000
"gc_icon_stab",15.000000
"gc_icon_teabage",15.000000
"gc_icon_widow",15.000000
"gc_icon_witch_hat",15.000000
"gc_icon_wizard_hat",15.000000
"gc_icon_wraith",15.000000
"gc_icon_wtf",15.000000
"gc_icon_down",35.000000
"gc_icon_joy",35.000000
"execution_face_stab",1.000000
"ion.ion_skin_03",1.000000
"camo_skin08",1.000000
"pilot_camo_skin08",1.000000
"titan_camo_skin08",1.000000
"ion.ion_nose_art_05",1.000000
"callsign_tt_gameover",10.000000
"callsign_tt_gameover_prism",1.000000
"callsign_tt_guardtheflag",10.000000
"callsign_tt_guardtheflag_prism",1.000000
"callsign_tt_megamarvin",10.000000
"callsign_tt_megamarvin_prism",1.000000
"callsign_tt_nessievault",10.000000
"callsign_tt_nessievault_prism",1.000000
"callsign_tt_nsbt",10.000000
"callsign_tt_nsbt_prism",1.000000
"callsign_tt_protocol2",10.000000
"callsign_tt_protocol2_prism",1.000000
"callsign_tt_rekt",10.000000
"callsign_tt_rekt_prism",1.000000
"callsign_tt_titantoons",10.000000
"callsign_tt_titantoons_prism",1.000000
"callsign_eat_ion",1.000000
"callsign_eat_legion",1.000000
"callsign_eat_northstar",1.000000
"callsign_eat_ronin",1.000000
"callsign_eat_scorch",1.000000
"callsign_eat_tone",1.000000
"callsign_126_col_prism",1.000000
"callsign_127_col_prism",1.000000
"callsign_130_col_prism",1.000000
"callsign_131_col_prism",1.000000
